GTD ID,DATE,REGION,COUNTRY,CITY,PERPETRATOR GROUP,ATTACK TYPE,WEAPON TYPE,TARGET TYPE,FATALITIES,INJURED
200408260005,8/26/04,Middle East & North Africa,Israel,Sderot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200408110001,8/11/04,Middle East & North Africa,Israel,Jerusalem,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,2,16
200408100002,8/10/04,Middle East & North Africa,West Bank and Gaza Strip,Barkan,Al-Aqsa Martyrs Brigade,"Bombing/Explosion,Armed Assault","Explosives/Bombs/Dynamite,Firearms",Transportation,0,2
200408040003,8/4/04,Middle East & North Africa,West Bank and Gaza Strip,Nablus,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
200408020004,8/2/04,Middle East & North Africa,West Bank and Gaza Strip,Gaza,Unknown,Assassination,Firearms,Private Citizens & Property,1,0
200408020003,8/2/04,Middle East & North Africa,West Bank and Gaza Strip,Gaza,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Police,1,8
200408010008,8/1/04,Middle East & North Africa,Israel,Eshkol regional council,Hamas (Islamic Resistance Movement) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,2
200407310005,7/31/04,Middle East & North Africa,Israel,Sederot,Hamas (Islamic Resistance Movement) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200407300003,7/30/04,Central Asia,Uzbekistan,Tashkent,"Hizb al-Tahrir al-Islami (HT) (suspected),Islamic Jihad Group (IJG) (suspected),Islamic Movement of Uzbekistan (IMU) (suspected)",Bombing/Explosion,Explosives/Bombs/Dynamite,Government (General),2,4
200407300002,7/30/04,Central Asia,Uzbekistan,Tashkent,"Hizb al-Tahrir al-Islami (HT) (suspected),Islamic Jihad Group (IJG) (suspected),Islamic Movement of Uzbekistan (IMU) (suspected)",Bombing/Explosion,Explosives/Bombs/Dynamite,Government (Diplomatic),2,1
200407300001,7/30/04,Central Asia,Uzbekistan,Tashkent,"Hizb al-Tahrir al-Islami (HT) (suspected),Islamic Jihad Group (IJG) (suspected),Islamic Movement of Uzbekistan (IMU) (suspected)",Bombing/Explosion,Explosives/Bombs/Dynamite,Government (Diplomatic),3,1
200407200002,7/20/04,Middle East & North Africa,West Bank and Gaza Strip,Ramallah,Unknown,Armed Assault,Firearms,Government (General),0,1
200407110001,7/11/04,Middle East & North Africa,Israel,Tel Aviv,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Transportation,1,30
200407030001,7/3/04,Middle East & North Africa,West Bank and Gaza Strip,Qabatiya,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Firearms,Private Citizens & Property,1,0
200407020004,7/2/04,Middle East & North Africa,West Bank and Gaza Strip,Ramallah,Al-Aqsa Martyrs Brigade,Bombing/Explosion,Explosives/Bombs/Dynamite,Unknown,0,0
200406280001,6/28/04,Middle East & North Africa,Israel,Sderot,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Educational Institution,3,Unknown
200406270002,6/27/04,Middle East & North Africa,West Bank and Gaza Strip,Gaza,"Al-Aqsa Martyrs Brigade,Hamas (Islamic Resistance Movement)",Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,5
200406200005,6/20/04,Middle East & North Africa,Israel,Shlomi,Hezbollah (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,0,0
200406080003,6/8/04,Middle East & North Africa,Israel,Shebba Farms,Hezbollah,Bombing/Explosion,Explosives/Bombs/Dynamite,Business,0,0
200406030005,6/3/04,Middle East & North Africa,West Bank and Gaza Strip,Khan Yunis,Palestinian Islamic Jihad (PIJ),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,0
200405220002,5/22/04,Middle East & North Africa,West Bank and Gaza Strip,Beqa'ot,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,1,4
200405030004,5/3/04,Middle East & North Africa,West Bank and Gaza Strip,Gush Qatif,"Palestinian Islamic Jihad (PIJ),Popular Resistance Committees","Armed Assault,Bombing/Explosion","Firearms,Explosives/Bombs/Dynamite",Private Citizens & Property,7,2
200404280001,4/28/04,Middle East & North Africa,West Bank and Gaza Strip,Unknown,Hamas (Islamic Resistance Movement),Bombing/Explosion,Explosives/Bombs/Dynamite,Military,1,4
200404250001,4/25/04,Middle East & North Africa,West Bank and Gaza Strip,Hebron,Al-Aqsa Martyrs Brigade,Armed Assault,Firearms,Military,1,3
200404190002,4/19/04,Middle East & North Africa,West Bank and Gaza Strip,Nisanit,Hamas (Islamic Resistance Movement) (suspected),Bombing/Explosion,Explosives/Bombs/Dynamite,Private Citizens & Property,0,4
200404170003,4/17/04,Middle East & North Africa,Israel,Erez,Unknown,Bombing/Explosion,Explosives/Bombs/Dynamite,Military,2,3
200404070002,4/7/04,Middle East & North Africa,Iraq,Najaf,Ansar al-Din,Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,Unknown,Unknown
200404070001,4/7/04,Middle East & North Africa,Iraq,Najaf,Mahdi Army (suspected),Hostage Taking (Kidnapping),"Melee,Incendiary,Firearms",NGO,0,1
200404030002,4/3/04,Middle East & North Africa,West Bank and Gaza Strip,Tulkarem,Hamas (Islamic Resistance Movement),Armed Assault,Firearms,Private Citizens & Property,1,1
200404010004,4/1/04,North America,United States,Oklahoma City,White extremists,Facility/Infrastructure Attack,Incendiary,Religious Figures/Institutions,0,0
200403140001,3/14/04,Middle East & North Africa,Israel,Ashdod,"Al-Aqsa Martyrs Brigade,Hamas (Islamic Resistance Movement)",Bombing/Explosion,Explosives/Bombs/Dynamite,"Maritime,Maritime",12,20
